molecule_chembl_id,pchembl_value,target_chembl_id,value,canonical_smiles
CHEMBL307152,5.26,CHEMBL4282,5.48,Cn1ccc2ccc3c4[nH]c5c(CCCN[C@H]6CC[C@H](O)CC6)cccc5c4c4c(c3c21)C(=O)NC4=O
CHEMBL3216643,8.3,CHEMBL4282,5.0,COc1ccc(O)c(C(=O)c2ccc(C(=O)O[C@@H]3CCCNCC3NC(=O)c3ccncc3)cc2)c1F.Cl.Cl
CHEMBL1204095,6.8,CHEMBL4282,160.0,COc1ccc(O)c(C(=O)c2ccc(/C=C/[C@@H]3CCCNC[C@H]3NC(=O)c3ccncc3)cc2)c1F.Cl
CHEMBL1202525,6.45,CHEMBL4282,355.0,COc1ccc(O)c(C(=O)c2ccc(CO[C@@H]3CCCNCC3NC(=O)c3ccncc3)cc2)c1F.Cl.Cl
CHEMBL1202518,8.4,CHEMBL4282,4.0,COc1ccc(O)c(C(=O)c2ccc(C(=O)N[C@@H]3CCCNCC3NC(=O)c3ccncc3)cc2)c1F.Cl.Cl
CHEMBL1204097,4.6,CHEMBL4282,25.0,COc1ccc(O)c(C(=O)c2ccc(NC[C@@H]3CCCNCC3NC(=O)c3ccncc3)cc2)c1F.Cl
CHEMBL1202519,5.52,CHEMBL4282,3.0,COc1ccc(O)c(C(=O)c2ccc(CN[C@@H]3CCCNC[C@H]3NC(=O)c3ccncc3)cc2)c1F.Cl
CHEMBL260397,6.53,CHEMBL4282,295.0,Oc1nc2ccccc2n1C1CCN(Cc2ccc(-c3nc4ccccc4nc3-c3ccccc3)cc2)CC1
CHEMBL258844,7.24,CHEMBL4282,58.0,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4cc5[nH]cnc5cc4nc3-c3ccccc3)cc2)CC1
CHEMBL178397,6.12,CHEMBL4282,760.0,Cc1nc(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)[nH]c1=O
CHEMBL359864,6.44,CHEMBL4282,365.0,Oc1nc2ccccc2n1C1CCN(Cc2ccc(-c3nc4ccccc4cc3-c3ccccc3)cc2)CC1
CHEMBL178349,5.5,CHEMBL4282,3136.0,Oc1nc2ccccc2n1C1CCN(Cc2ccc(-c3cc4ccccc4nc3-c3ccccc3)cc2)CC1
CHEMBL255212,6.12,CHEMBL4282,762.0,N#Cc1cnc(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)c1
CHEMBL360333,5.89,CHEMBL4282,1288.0,N#Cc1cnc(-c2ccc(CNCc3ccc(-c4csnn4)cc3)cc2)c(-c2ccccc2)c1
CHEMBL368010,6.06,CHEMBL4282,865.0,N#Cc1cnc(-c2ccc(CN3CCC(c4nc5cc(F)ccc5[nH]4)CC3)cc2)c(-c2ccccc2)c1
CHEMBL181927,5.54,CHEMBL4282,2874.0,Cc1ccc2[nH]c(C3CCN(Cc4ccc(-c5ncc(C#N)cc5-c5ccccc5)cc4)CC3)nc2c1
CHEMBL369094,5.83,CHEMBL4282,1471.0,N#Cc1cnc(-c2ccc(CN3CCC(c4nc5ccccc5[nH]4)CC3)cc2)c(-c2ccccc2)c1
CHEMBL361391,5.36,CHEMBL4282,4397.0,N#Cc1cnc(-c2ccc(CN3CCC(n4cnc5ccccc54)CC3)cc2)c(-c2ccccc2)c1
CHEMBL425338,5.13,CHEMBL4282,7407.0,Cc1nc2ccccc2n1C1CCN(Cc2ccc(-c3ncc(C#N)cc3-c3ccccc3)cc2)CC1
CHEMBL270847,6.56,CHEMBL4282,273.0,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3ncc(-c4nnn[nH]4)cc3-c3ccccc3)cc2)CC1
CHEMBL425155,6.75,CHEMBL4282,177.0,c1ccc(-c2cc(-c3nn[nH]n3)cnc2-c2ccc(CNCc3ccc(-c4csnn4)cc3)cc2)cc1
CHEMBL181730,6.62,CHEMBL4282,239.0,Fc1ccc2[nH]c(C3CCN(Cc4ccc(-c5ncc(-c6nn[nH]n6)cc5-c5ccccc5)cc4)CC3)nc2c1
CHEMBL367601,6.12,CHEMBL4282,763.0,Cc1ccc2[nH]c(C3CCN(Cc4ccc(-c5ncc(-c6nn[nH]n6)cc5-c5ccccc5)cc4)CC3)nc2c1
CHEMBL178872,5.48,CHEMBL4282,3323.0,c1ccc(-c2cc(-c3nn[nH]n3)cnc2-c2ccc(CN3CCC(c4nc5ccccc5[nH]4)CC3)cc2)cc1
CHEMBL178445,5.37,CHEMBL4282,4237.0,c1ccc(-c2cc(-c3nn[nH]n3)cnc2-c2ccc(CN3CCC(n4cnc5ccccc54)CC3)cc2)cc1
CHEMBL369532,5.16,CHEMBL4282,6915.0,Cc1nc2ccccc2n1C1CCN(Cc2ccc(-c3ncc(-c4nn[nH]n4)cc3-c3ccccc3)cc2)CC1
CHEMBL182101,5.75,CHEMBL4282,1772.0,Cn1nnnc1-c1cnc(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)c1
CHEMBL362455,5.47,CHEMBL4282,3400.0,CC(C)(N)c1ccc(-c2nc3ccccc3nc2-c2ccccc2)cc1
CHEMBL440560,5.52,CHEMBL4282,3029.0,O=c1cnc(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)[nH]1
CHEMBL577792,5.82,CHEMBL4282,1500.0,O=c1cnc(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)[nH]1
CHEMBL572629,6.0,CHEMBL4282,1003.0,Cc1nc(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)[nH]c1=O
CHEMBL180580,4.77,CHEMBL4282,17000.0,Oc1nc(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(O)nc5ccccc54)CC3)cc2)nc1Cc1ccccc1
CHEMBL178133,4.66,CHEMBL4282,21670.0,O=c1[nH]c(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)nc1Cc1ccc(O)cc1
CHEMBL428861,4.77,CHEMBL4282,17000.0,CCC(C)c1nc(-c2ccc(CN3CCC(n4c(O)nc5ccccc54)CC3)cc2)c(-c2ccccc2)nc1O
CHEMBL178468,4.67,CHEMBL4282,21200.0,CC(C)Cc1nc(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(O)nc5ccccc54)CC3)cc2)nc1O
CHEMBL272292,6.62,CHEMBL4282,240.0,O=C(O)c1ccc2nc(-c3ccc(CN4CCC(n5c(=O)[nH]c6ccccc65)CC4)cc3)c(-c3ccccc3)nc2c1
CHEMBL273160,6.78,CHEMBL4282,166.0,O=C(O)c1ccc2nc(-c3ccccc3)c(-c3ccc(CN4CCC(n5c(=O)[nH]c6ccccc65)CC4)cc3)nc2c1
CHEMBL271091,7.2,CHEMBL4282,63.0,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4ccc(-c5nn[nH]n5)cc4nc3-c3ccccc3)cc2)CC1
CHEMBL408151,7.7,CHEMBL4282,20.0,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4cc(-c5nn[nH]n5)ccc4nc3-c3ccccc3)cc2)CC1
CHEMBL181419,5.96,CHEMBL4282,1089.0,Cn1nnc(-c2ccc3nc(-c4ccc(CN5CCC(n6c(O)nc7ccccc76)CC5)cc4)c(-c4ccccc4)nc3c2)n1
CHEMBL180058,7.26,CHEMBL4282,55.0,Cn1nnc(-c2ccc3nc(-c4ccccc4)c(-c4ccc(CN5CCC(n6c(O)nc7ccccc76)CC5)cc4)nc3c2)n1
CHEMBL180231,7.07,CHEMBL4282,85.0,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4cc5cn[nH]c5cc4nc3-c3ccccc3)cc2)CC1
CHEMBL192519,5.58,CHEMBL4282,2.6,CC1=C(C#N)c2nc(N)c(C#N)c(C)c2/C1=C/c1ccc(-c2ccc(C(=O)O)c(Cl)c2)o1
CHEMBL190313,5.35,CHEMBL4282,4.5,O=C(/C=C/c1nc2ccccc2[nH]1)c1c(O)nc2ccc(Cl)cc2c1-c1ccccc1
CHEMBL175828,4.6,CHEMBL4282,25.1,O=C(O)c1cc(-c2ccc(C=C3C(=O)c4ccccc4C3=O)o2)ccc1O
CHEMBL104264,5.64,CHEMBL4282,2.3,O=S(=O)(NCCNC/C=C/c1ccc(Br)cc1)c1cccc2cnccc12
CHEMBL193261,4.22,CHEMBL4282,60.2,CC1=C(C#N)c2nc(N)c(C#N)c(C)c2/C1=C/c1ccc(-c2cccc(C(=O)O)c2)o1
CHEMBL192161,5.04,CHEMBL4282,9210.0,CC1(COc2ccc(Cl)cc2NC(=O)Nc2cnc(C#N)cn2)COC1
CHEMBL199996,5.05,CHEMBL4282,9.0,Cc1n[nH]c2sc(C(N)=O)c(NC(=O)Nc3ccccc3)c12
CHEMBL382070,4.77,CHEMBL4282,17.0,Cc1n[nH]c2sc(C(N)=O)c(NC(=O)c3cccs3)c12
CHEMBL200499,4.82,CHEMBL4282,15.0,O=C(NCc1ccccc1)c1cc2c(-c3ccccc3)[nH]nc2s1
CHEMBL200796,4.8,CHEMBL4282,16.0,COC(=O)c1cc2c(Nc3ccccc3)[nH]nc2s1
CHEMBL419932,5.28,CHEMBL4282,5290.0,C[C@H](N)COc1cnc(Cl)c(/C=C/c2ccncc2)c1
CHEMBL388978,8.82,CHEMBL4282,1.5,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
CHEMBL206708,5.48,CHEMBL4282,3340.0,N[C@H](COc1cncc(/C=C/c2ccnc(-n3ccc4ccccc43)c2)c1)Cc1c[nH]c2ccccc12
CHEMBL381610,6.83,CHEMBL4282,147.0,N[C@H](COc1cncc(/C=C/c2ccnc(NCc3ccccc3)c2)c1)Cc1c[nH]c2ccccc12
CHEMBL203275,7.16,CHEMBL4282,69.0,N[C@H](COc1cncc(/C=C/c2ccnc(NC3CC3)c2)c1)Cc1c[nH]c2ccccc12
CHEMBL382914,6.79,CHEMBL4282,163.0,CCNc1cc(/C=C/c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)ccn1
